city,raw_temp,scraped_at,temp_celsius
Tallinn,Thu 11:46 pm,2026-08-27 15:46:37,11
Cape Town,Thu 10:46 pm,2026-08-27 15:46:37,10
Los ngeles,Thu 1:46 pm,2026-08-27 15:46:37,1
Tashkent,Fri 1:46 am,2026-08-27 15:46:37,1
Caracas,Thu 4:46 pm,2026-08-27 15:46:37,4
Madrid,Thu 10:46 pm,2026-08-27 15:46:37,10
Tegucigalpa,Thu 2:46 pm,2026-08-27 15:46:37,2
Casablanca,Thu 9:46 pm,2026-08-27 15:46:38,9
Managua,Thu 2:46 pm,2026-08-27 15:46:38,2
Tehran,Fri 12:16 am,2026-08-27 15:46:38,12
Chicago,Thu 3:46 pm,2026-08-27 15:46:38,3
Manila,Fri 4:46 am,2026-08-27 15:46:38,4
Tokyo,Fri 5:46 am,2026-08-27 15:46:38,5
Copenhagen,Thu 10:46 pm,2026-08-27 15:46:38,10
Melbourne,Fri 6:46 am,2026-08-27 15:46:38,6
Toronto,Thu 4:46 pm,2026-08-27 15:46:38,4
Dallas,Thu 3:46 pm,2026-08-27 15:46:38,3
Mexico City,Thu 2:46 pm,2026-08-27 15:46:38,2
Vancouver,Thu 1:46 pm,2026-08-27 15:46:38,1
Dar es Salaam,Thu 11:46 pm,2026-08-27 15:46:38,11
Miami,Thu 4:46 pm,2026-08-27 15:46:38,4
Vienna,Thu 10:46 pm,2026-08-27 15:46:38,10
Darwin,Fri 6:16 am,2026-08-27 15:46:38,6
Minneapolis,Thu 3:46 pm,2026-08-27 15:46:38,3
Warsaw,Thu 10:46 pm,2026-08-27 15:46:38,10
Denver,Thu 2:46 pm,2026-08-27 15:46:38,2
Minsk,Thu 11:46 pm,2026-08-27 15:46:38,11
Washington DC,Thu 4:46 pm,2026-08-27 15:46:38,4
Detroit,Thu 4:46 pm,2026-08-27 15:46:38,4
Montevideo,Thu 5:46 pm,2026-08-27 15:46:38,5
Winnipeg,Thu 3:46 pm,2026-08-27 15:46:38,3
Dhaka,Fri 2:46 am,2026-08-27 15:46:38,2
Montréal,Thu 4:46 pm,2026-08-27 15:46:39,4
Yangon,Fri 3:16 am,2026-08-27 15:46:39,3
Doha,Thu 11:46 pm,2026-08-27 15:46:39,11
Moscow,Thu 11:46 pm,2026-08-27 15:46:39,11
Zagreb,Thu 10:46 pm,2026-08-27 15:46:39,10
Dubai,Fri 12:46 am,2026-08-27 15:46:39,12
Mumbai,Fri 2:16 am,2026-08-27 15:46:39,2
Zürich,Thu 10:46 pm,2026-08-27 15:46:39,10
