city,raw_temp,scraped_at
Madrid *,Thu 10:46 pm,2026-08-27 15:46:37
Tegucigalpa,Thu 2:46 pm,2026-08-27 15:46:37
Casablanca *,Thu 9:46 pm,2026-08-27 15:46:38
Managua,Thu 2:46 pm,2026-08-27 15:46:38
Tehran,Fri 12:16 am,2026-08-27 15:46:38
Chicago *,Thu 3:46 pm,2026-08-27 15:46:38
Manila,Fri 4:46 am,2026-08-27 15:46:38
Tokyo,Fri 5:46 am,2026-08-27 15:46:38
Copenhagen *,Thu 10:46 pm,2026-08-27 15:46:38
Melbourne,Fri 6:46 am,2026-08-27 15:46:38
Toronto *,Thu 4:46 pm,2026-08-27 15:46:38
Dallas *,Thu 3:46 pm,2026-08-27 15:46:38
Mexico City,Thu 2:46 pm,2026-08-27 15:46:38
Vancouver *,Thu 1:46 pm,2026-08-27 15:46:38
Dar es Salaam,Thu 11:46 pm,2026-08-27 15:46:38
Miami *,Thu 4:46 pm,2026-08-27 15:46:38
Vienna *,Thu 10:46 pm,2026-08-27 15:46:38
Darwin,Fri 6:16 am,2026-08-27 15:46:38
Minneapolis *,Thu 3:46 pm,2026-08-27 15:46:38
Warsaw *,Thu 10:46 pm,2026-08-27 15:46:38
Denver *,Thu 2:46 pm,2026-08-27 15:46:38
Minsk,Thu 11:46 pm,2026-08-27 15:46:38
Washington DC *,Thu 4:46 pm,2026-08-27 15:46:38
Detroit *,Thu 4:46 pm,2026-08-27 15:46:38
Montevideo,Thu 5:46 pm,2026-08-27 15:46:38
Winnipeg *,Thu 3:46 pm,2026-08-27 15:46:38
Dhaka,Fri 2:46 am,2026-08-27 15:46:38
Montréal *,Thu 4:46 pm,2026-08-27 15:46:39
Yangon,Fri 3:16 am,2026-08-27 15:46:39
Doha,Thu 11:46 pm,2026-08-27 15:46:39
Moscow,Thu 11:46 pm,2026-08-27 15:46:39
Zagreb *,Thu 10:46 pm,2026-08-27 15:46:39
Dubai,Fri 12:46 am,2026-08-27 15:46:39
Mumbai,Fri 2:16 am,2026-08-27 15:46:39
Zürich *,Thu 10:46 pm,2026-08-27 15:46:39
